"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Markdown", "TypeScript JSX", "JavaScript", "CSS", "XML", "Docker", "YAML", "HTML", "comment", "blank", "total"
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\core\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 8, 142
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\core\Layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 3, 17
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\homepage\Homepage.tsx", "TypeScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 3, 70
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\homepage\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 8, 157
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\routing\BuyerProtectedRoute.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 2, 13, 91
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\routing\BuyerProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 6, 29
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\routing\Routing.tsx", "TypeScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 57, 1, 105
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\routing\SellerProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 6, 29
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\seller\DrinkS.tsx", "TypeScript JSX", 0, 0, 0, 0, 414, 0, 0, 0, 0, 0, 0, 3, 13, 430
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\seller\EditSellerProfile.tsx", "TypeScript JSX", 0, 0, 0, 0, 525, 0, 0, 0, 0, 0, 0, 0, 12, 537
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\seller\HeroS.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\seller\HeroS.tsx", "TypeScript JSX", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 7, 124
"d:\FERI\3. letnik\5. semester\ZK\LastCall\apps\frontend\src\components\seller\NavbarS.tsx", "TypeScript JSX", 0, 0, 0, 0, 280, 0, 0, 0, 0, 0, 0, 4, 10, 294
